tpr,fpr,t
0.23735976640540957,0.2971275544361909,0.1901427168156932
0.23735976640540957,0.29892349709354843,0.18883956960509796
0.23747502689411404,0.29892349709354843,0.188817666356514
0.23747502689411404,0.29942296043612715,0.18839407072009065
0.23770554787152298,0.29942296043612715,0.18839332485934054
0.23770554787152298,0.2998799162601885,0.18806575455686309
0.23785922852312893,0.2998799162601885,0.18802401735848923
0.23785922852312893,0.3006450515935006,0.18748925215267773
0.23808974950053788,0.3006450515935006,0.1874870851311254
0.23808974950053788,0.30113388805644997,0.18713626478669462
0.23824343015214383,0.30113388805644997,0.18713596241307362
0.23824343015214383,0.3013039181305193,0.18701697290889652
0.23855079145535577,0.3013039181305193,0.18701567944304992
0.23855079145535577,0.30245162113048746,0.18617388417812175
0.2388581527585677,0.30245162113048746,0.18617112927813334
0.2388581527585677,0.30273854688047946,0.1859106439851597
0.23908867373597664,0.30273854688047946,0.18590874789352088
0.23908867373597664,0.3028341887971435,0.18586664399371555
0.23920393422468111,0.3028341887971435,0.1858593153065101
0.23920393422468111,0.3041412949915516,0.18489027240155642
0.23943445520209006,0.3041412949915516,0.18488067734453392
0.23943445520209006,0.3053952667878131,0.18387207327770191
0.239588135853696,0.3053952667878131,0.18386816731624886
0.239588135853696,0.30591598388965047,0.18347022657106984
0.23981865683110495,0.30591598388965047,0.1834649952232093
0.23981865683110495,0.30658547730629854,0.18296324469727812
0.23993391731980943,0.30658547730629854,0.18295867642156313
0.23993391731980943,0.3066173579451866,0.18291654343343594
0.24024127862302136,0.3066173579451866,0.1829144950893675
0.24024127862302136,0.3066704923433332,0.18287526769709528
0.24035653911172583,0.3066704923433332,0.18287443943512371
0.24035653911172583,0.3067129998618506,0.1828421085769554
0.24051021976333178,0.3067129998618506,0.18283965116807227
0.24051021976333178,0.30742500079701596,0.1823325448588897
0.24074074074074073,0.30742500079701596,0.18232235822346074
0.24074074074074073,0.30786070286181866,0.18206621142545645
0.24081758106654372,0.30786070286181866,0.18204573899192172
0.24081758106654372,0.30938034664881353,0.18106219766960296
0.24104810204395266,0.30938034664881353,0.18106126454215
0.24104810204395266,0.30958225736177086,0.18095220575483642
0.2413554633471646,0.30958225736177086,0.18094892692279138
0.2413554633471646,0.3100285863062029,0.18068475768199216
0.24150914399877055,0.3100285863062029,0.18067601510989073
0.24150914399877055,0.31093187107469633,0.18011959340491948
0.24162440448747502,0.31093187107469633,0.18011440392354144
0.24162440448747502,0.31137820001912836,0.179817570151692
0.24185492546488396,0.31137820001912836,0.17981102380882133
0.24185492546488396,0.3129190975653819,0.17894851419595928
0.2421622867680959,0.3129190975653819,0.17893235607511052
0.2421622867680959,0.31328041147277924,0.17870443007028725
0.24239280774550484,0.31328041147277924,0.1786967718793483
0.24239280774550484,0.3142368306394194,0.17784418865542445
